code;traduction;paragraphe;marqueur;ecritures_rattachees
61-0808;SKN;73;[Frère Jimmy lit la question suivante, portant sur les trois esprits impurs – N.D.E.] …qui sont sortis de l’Apocalypse, qui sont sortis de la bouche du faux prophète, du dragon et ainsi de suite. Eh b;Esther 22:0
61-0808;SKN;81;Et vous l’avez remarqué il y a un instant, pendant que je expliquais – j’expliquais cela, il y a un instant, la même chose, concernant ce Romain-là, voyez-vous, en disant : « Crois au Seigneur Jésus-C;(aucune ref proche)
61-1015M;SKN;1;... ces questions avant que je ne vienne à la chaire, mais frère Moore m’a appelé d’urgence et j’ai pensé que quelqu’un était très malade, mais il voulait simplement qu’on ait une réunion. J’ai donc e;(aucune ref proche)
61-1015M;SKN;7;Si donc je ne réponds pas à ces questions selon votre croyance... Eh bien, rappelez-vous toujours que c’est au mieux de ma connaissance. Et puis, quelquefois peut-être je – à ce propos, je n’aurai qu’;(aucune ref proche)
61-1015M;SKN;20;Et puis, je pense que si nous pouvons avoir ici une question, quelque chose d’autre qui y est aussi lié... Et rappelez-vous simplement que là où se trouve le péché, c’est exactement là qu’il y a la mo;(aucune ref proche)
61-1015M;SKN;27;Seigneur, aujourd’hui comme le sort tombe sur les réponses aux questions, nous sommes conscients que ces choses qui sont sur les coeurs des gens sont profondes et sincères. Ils n’ont pas posé des ques;Actes 2:38, Actes 2:38, Matthieu 28:19
61-1015M;SKN;37;Maintenant, dans ces questions que je... Certaines d’entre elles, je n’y ai même pas jeté un coup d’oeil. Il se peut que j’épelle lentement les mots pour découvrir ce que c’est. Ce n’est pas à cause d;Actes 2:38, Actes 2:38, Matthieu 28:19, Actes 19:5
61-1015M;SKN;48;Maintenant, la question suivante, c’est... Bien sûr, c’est tout à fait scripturaire. C’est la Vérité.;Actes 19:5, Hebreux 6:4, Hebreux 6:4, Hebreux 10:0, Hebreux 10:26, Hebreux 6:4
61-1015M;SKN;58;Bon, je crois sincèrement de tout mon coeur, que la réponse qu’il faut à cette question est que le baptême correct se fait au Nom de Jésus-Christ et que ceux qui ont été baptisés autrement et qui, san;Hebreux 6:4, Hebreux 6:4, Hebreux 10:0, Hebreux 10:26, Hebreux 6:4, Hebreux 10:0
61-1015M;SKN;65;Maintenant, pour relier ces deux Ecritures, et faire ressortir la question pour vous, prenons une Ecriture et une personne dans la Bible qui a fait cela, et alors nous pourrons comprendre.;Jean 21:15
61-1015M;SKN;79;"En d’autres termes, celui qui arrive à la justification s’en va dire: «Je pense que je vais prêcher la Parole.» Il est sauvé; et il dit : «J’en ai assez du péché.» Très bien. Alors il s’en va, et pour";Jean 21:15
61-1015M;SKN;85;Eh bien, c’est ce qu’Il voulait dire par «Pais Mes brebis». Si nous continuons là-dessus, nous ne pourrons jamais aborder les autres questions, car ça, c’est une bonne question pour moi. J’aime cela, ;(aucune ref proche)
61-1015M;SKN;93;Puis, ayant cessé de prier, je me suis appuyé comme ceci sur une chaise écoutant, et il a simplement continué de parler. Je me suis dit : «Eh bien, je me demande pourquoi personne ne lui répond.» Et j;(aucune ref proche)
61-1015M;SKN;105;Il a posé deux questions ici, c’est vrai. Cela – cela est vrai. Il n’est pas correct que les femmes soient des ministres et – et qu’elles parlent à l’église. C’est vrai, I Corinthiens chapitre 14.;(aucune ref proche)
61-1015M;SKN;124;Souvenez-vous, le corps... Je vais parler d’une façon voilée maintenant afin que vous qui êtes plus âgés compreniez. Ceci est un groupe mixte, et je suis votre frère, et c’est une question. Voyez?;(aucune ref proche)
61-1015M;SKN;142;Mais dès que je me suis mis en route, le Saint-Esprit m’a dit: «Ne fais pas cela.» Oh! c’est vraiment bien d’avoir le Saint-Esprit. «Ne fais pas cela.» Eh bien, juste à ce moment-là, je – j’ai dit : «;(aucune ref proche)
61-1015M;SKN;148;Si vous remarquez – si vous avez réellement reçu le Saint-Esprit, vous êtes sauvé éternellement. Je peux prouver cela par les Ecritures, et nous l’avons fait à maintes reprises. Mais, pour gagner le t;(aucune ref proche)
61-1015M;SKN;162;Mais les femmes, si elles possèdent un don... Eh bien, la façon juste, je crois, quand nous nous rassemblons, assez tôt... Lorsque notre église sera un petit peu mieux aménagée ... Et – et à propos, i;Matthieu 5:0
61-1015M;SKN;168;Eh bien, maintenant, mon frère, voici la seule manière pour vous de le faire. Eh bien, c’est un grand sujet, et un jour je – je veux que quand – quand l’église sera organisée et mise dans la position ;Matthieu 5:0
61-1015M;SKN;175;Eh bien, je pense que tous les crucifix sont les mêmes, si je ne suis pas... Je ferais mieux de vérifier cela. Mais il est écrit dessus : I-R-N-I, ce qui signifie : «Jésus de Nazareth, le Roi des Juif;(aucune ref proche)
61-1015M;SKN;182;Non, monsieur! Vous, soyez un chrétien où que vous soyez. Peu m’importe où vous êtes, vous pouvez toujours rester un chrétien. 163. Quel est, à votre avis, le meilleur moyen pour connaître la... Seign;Matthieu 16:9, Matthieu 16:9, Matthieu 16:10, Apocalypse 2:9
61-1015M;SKN;192;Oh! je vous assure, aussitôt que vous dites que vous avez le Saint-Esprit, Satan braque directement sur vous toutes les armes et tire sur vous. Revêtez-vous donc de toutes les armes, ensuite prenez le;Matthieu 16:9, Matthieu 16:9, Matthieu 16:10, Apocalypse 2:9, Apocalypse 2:0, Apocalypse 21:0
61-1015M;SKN;201;Maintenant, voyons, la dernière question ici était : «La nouvelle Jérusalem est-elle spirituelle? Non, non, la nouvelle Jérusalem que Jean a vue descendre du ciel d’auprès de Dieu, ce n’est donc pas l;Apocalypse 21:0
61-1015M;SKN;223;Combien aiment le Seigneur? Amen! Bon, après que nous avons eu ces questions, et il y en a qui sont tranchantes et tout, et peut-être qu’on y a répondu... Peut-être que je ne les ai pas traitées comme;(aucune ref proche)
61-1015M;SKN;229;Oh! Dieu, apparemment, quel refus catégorique! Et pas seulement cela, mais elle fut appelée chienne. Cependant au lieu d’être arrogante à cause de cela, mais avec beaucoup de douceur et d’humilité, el;(aucune ref proche)
61-1015M;SKN;244;"Et simplement nous – pensons un peu combien Il est grand, et ce qu’Il a fait pour nous. Qu’aurions-nous fait sans Lui? Pensons à la manière dont nous L’avons vu; rien de ce qu’Il nous a déjà dit au tr";(aucune ref proche)
62-0527;SKN;8;Je me suis donc dit qu’avant de partir, il me semble qu’il serait une bonne chose que l’on pose un peu quelques questions. Vous savez, vous découvrez ce qu’il y a dans les coeurs des gens, quand ils p;(aucune ref proche)
62-0527;SKN;16;Donne-nous ce soir la réponse à ces questions, afin que nous puissions satisfaire chaque coeur par Ta Parole. Car nous le demandons au Nom de Jésus. Amen.;(aucune ref proche)
62-0527;SKN;22;Bon, quand les gens ont posé ces questions, je me suis dit que cela pourrait me permettre d’appréhender vos – vos préoccupations. J’en ai eu deux. Alors que je franchissais la porte, Billy m’a dit qu’;(aucune ref proche)
62-0527;SKN;28;Maintenant, la première se trouve, je pense, dans 1 Corinthiens, au chapitre 7, verset 15. Nous allons donc essayer d’aller à cette Ecriture afin de voir à quoi cela ressemble, et voir si nous pouvons;(aucune ref proche)
62-0527;SKN;36;Maintenant, ici même ce serait comme si cela donnait... Et c’est ainsi que vous voyez des contradictions dans la Bible, mais il n’en est pas ainsi. Maintenant, ici, c’est comme si la personne voudrait;Genese 1:26
62-0527;SKN;46;Un croyant déjà réconcilié avec une conjointe vivante et qui se remarie, cela n’existe pas. Maintenant, en voici une autre. La deuxième est formulée comme suit: 170. Quel genre de corps le méchant aur;Genese 1:26, Genese 2:7, Genese 1:26, Genese 1:26, Genese 1:21
62-0527;SKN;55;Voyez-vous, Satan avait déjà séduit Eve. Naturellement, Adam la connut, mais elle avait déjà été séduite. Car bien avant, là-bas, il ... quand ils... avant qu’ils en arrivent... Quand ils en sont arri;Genese 1:26, Genese 1:21
62-0527;SKN;97;"Oh, là où Elle dit.. Les gens disent : «Elle se contredit.» Vous êtes en train de lire étant ici en bas; montez ici et lisez-La, alors, c’est tout à fait autre chose. Vous voyez? C’est vrai. Assurémen";(aucune ref proche)
62-0527;SKN;108;Je ne suis pas venu à l’église ce soir à cause d’une loi. Je me sens fatigué, je–je–je suis tendu, je suis bouleversé, je me demande bien ce qui arrivera, mon coeur brûle au point que j’ai des palpita;(aucune ref proche)
62-0527;SKN;124;Vous pouvez penser que vous êtes aussi attaché, frère, soeur, vous qui avez posé cette question. Vous pouvez penser que le diable vous a attaché là, mais il ment. Un jour, un Homme est venu sur la ter;(aucune ref proche)
62-0527;SKN;136;Et qu’importe que je vive ici ou que je sois enseveli là-bas? Car, si ma peine de mort a déjà été expiée, je serai là avant ceux qui sont en vie. C’est vrai. «Voici ce que je déclare... (II Thessaloni;(aucune ref proche)
62-0527;SKN;147;Si j’achetais un – un... L’autre jour, quelqu’un est venu et m’a écrit une note, il disait, une – une longue lettre, et il disait : «Frère Branham, je ne sais que faire.» Il a dit : «Ma femme et moi a;(aucune ref proche)
62-0527;SKN;164;Eh bien, il n’y a pas longtemps, quelqu’un m’a écrit et m’a posé une question, disant : «Si vous ne croyez pas que l’Eglise passera par la Tribulation, qu’en est-il d’Apocalypse 13, comment ont-ils va;Malachie 3:0, Malachie 3:0, Matthieu 11:0, Malachie 3:0, Malachie 4:0, Malachie 4:0
62-0527;SKN;181;Cela se passera-t-il comme à la venue de Jean où même les disciples élus n’ont pas pu reconnaître cela? Ils demandèrent : «Pourquoi les scribes disent-ils qu’il faut qu’Elie vienne premièrement?»;(aucune ref proche)
62-0527;SKN;193;Et je parlais à ma femme, j’ai dit : «Chérie, cela fait environ une année et quatre mois que je ne sais où aller.» J’ai dit : «Je n’en ai aucune idée.» Elle a dit... Nous parlions du déménagement. J’a;(aucune ref proche)
62-0527;SKN;225;Et je – je peux dire une chose, mais je suis très mal compris. Ou que je dise que c’est comme ceci, je... c’est comme ceci ou comme cela, quelqu’un saisit cela de travers. Et ce qui arrive, c’est que ;(aucune ref proche)
62-0527;SKN;231;Toutefois, le Seigneur voulant, juste avant que frère Boze ne vienne dimanche, je pourrais venir dimanche matin et parler sur ce sujet de l’Evangélisation du temps du soir, ou quelque chose de ce genr;(aucune ref proche)
62-0527;SKN;242;Puissions-nous nous préparer maintenant, Seigneur! Quel temps merveilleux ce sera quand nous nous préparerons à aller à Ta rencontre, Père! Puissions-nous préparer nos coeurs chaque jour! Et si vraime;(aucune ref proche)
63-0324M;SKN;5;Et ce–c’est un peu une heure de tension pour moi. Ça a été comme ça toute la semaine. Maintenant, ceci c’est mon... c’est le huitième jour que je passe dans une pièce. Et j’ai constaté qu’il y avait i;1 Corinthiens 12:0
63-0324M;SKN;29;Père céleste, nous sommes sur le point de dé-... d’ôter la fermeture de ce Livre, pour L’ouvrir, la partie physique, en–en essayant de retransmettre ce que Tu nous as dévoilé dans le domaine spirituel;Matthieu 25:0
63-0324M;SKN;35;De toutes les fois que j’ai été derrière la chaire, au tabernacle, je n’ai jamais, jamais, à aucun moment de mon ministère, oeuvré dans les sphères de Dieu et dans les sphères spirituelles comme cette;Matthieu 25:0
63-0324M;SKN;41;La plupart des questions qui sont posées se rapportent à ce côté de la trib-... ou, de l’Enlèvement de l’Eglise. Alors, vous voyez... Ce sont des questions qui concernent des choses qui vont venir et ;Matthieu 25:0
63-0324M;SKN;54;Mais, tant de gens situent toutes ces choses: le soleil qui s’obscurcit, la lune... Ils les ramènent loin là dans l’âge du christianisme. Ils ont tout simplement manqué de voir ces trois questions qui;Matthieu 24:0
63-0324M;SKN;61;Maintenant–maintenant, quant à celles-ci... Vous voyez, je–il va falloir que je me dépêche d’y répondre. En effet, vous voyez, chacune d’elles ferait l’objet d’un sermon de quatre semaines (Vous voyez;Matthieu 24:0
63-0324M;SKN;68;Maintenant, remarquez comment chacun de ces Sceaux... Ensuite j’en suis arrivé ici, et... ces trois questions qui ont été posées à Jésus-Christ: «Quel... quand ces choses arriveront-elles, quand est-c;Matthieu 24:0
63-0324M;SKN;75;Et puis on... D’une manière ou d’une autre lorsqu’on s’isole, c’est là que les mystères commencent à s’ouvrir. Alors, on voit aussi des choses qu’on n’ose pas dire aux gens. En effet, vous voyez, si o;(aucune ref proche)
63-0324M;SKN;81;Donc, celles-là seront une partie de l’Epouse. Ce sont elles qui vont la composer, vous voyez, toutes celles qui dorment. Et ne pouvons-nous pas absolument voir? [Panne du système d’enregistrement. Es;(aucune ref proche)
63-0324M;SKN;94;Si je suis en train de butter des pommes de terre, je vais continuer à les butter de toutes mes forces. Quand Il viendra, je lâcherai simplement la houe et je m’en irai. Vous vous souvenez de l’année ;Apocalypse 6:6
63-0324M;SKN;101;Donc, pour–pour ce qui est d’un passage de l’Ecriture, c’est sur ça que porte la question ici: «Y a-t-il une Ecriture?» Voyez? «Y a-t-il un passage de l’Ecriture?» Il n’y a pas un passage de l’Ecritur;Apocalypse 6:6
63-0324M;SKN;113;Il y a à peu près trois questions dans une seule, là. Mais, voici... Voici la première: [8 a]Est-il vrai que tous les Juifs qui sont nés, qui sont venus au monde depuis Christ, seront sauvés?;(aucune ref proche)
63-0324M;SKN;129;Absolument. C’est tout à fait exact. Très bien. Maintenant, s’il y a donc un... Maintenant, si je suis... Si je n’y ai pas répondu de manière satisfaisante pour vous, eh bien, peut-être que je–je pour;Genese 4:1, Matthieu 5:0
63-0324M;SKN;137;Alors, comment se fait-il que Caïn était un menteur, un meurtrier, et tout? D’où cela est-il venu? Posez-vous donc cette question. C’était la semence du serpent. Voyez? N’est-ce pas ce que dit la Bibl;Matthieu 5:0, Actes 2:38, Matthieu 28:19, Actes 2:0, Luc 24:49, Matthieu 28:19
63-0324M;SKN;154;Maintenant, j’aimerais vous poser une question. «Père», est-ce un nom? [L’assemblée dit: «Non.»–N.D.E.] «Fils», est-ce un nom? [«Non.»] Combien y a-t-il de pères ici? Lequel d’entre vous a pour nom «P;(aucune ref proche)
63-0324M;SKN;163;"Maintenant j’aimerais vous poser quelques questions. Maintenant, écoutez encore; vous–vous, dites-le. [Frère Branham montre du doigt chacun des trois objets dont il se sert pour illustrer.–N.D.E.] Qui";(aucune ref proche)
63-0324M;SKN;175;A l’époque où les pentecôtistes sont venus, ils ont formé le groupe des «Jésus Seul». Or, ça aussi, c’est faux. Comment Jésus pourrait-Il être Son propre Père? Voyez? Donc, ça règle cette question.;(aucune ref proche)
63-0324M;SKN;182;Mais ici, on fait clairement appel à une seule Personne, le Seigneur Jésus-Christ (Vous voyez?), l’Oint. Il n’y en a qu’Un seul. Eh bien, c’est exact. Ainsi, si vous voulez en savoir plus, écrivez une;(aucune ref proche)
63-0324M;SKN;190;Vous voyez, tout est en ordre. Tout fonctionne très précisément comme la grande horloge de Dieu (Vous voyez?), comme les aiguilles qui tournent. Votre nom y a été placé avant la fondation du monde, qu;(aucune ref proche)
63-0324M;SKN;258;"Il n’a pas dit: «Allez dire à Jean qu’il aurait dû avoir son doctorat avant d’aller dans le...» Voyez? S’il avait fait cela, il aurait été avec les autres; il aurait été de ceux qui rejetaient la chos";Malachie 3:0, Apocalypse 6:0, Apocalypse 5:9, Apocalypse 5:9, Apocalypse 6:11, Apocalypse 6:0
63-0324M;SKN;268;Lisons-le, pour que cette personne... Et ensuite, je vais essayer... Il m’en reste encore une demi-douzaine ici, et je pourrais les traiter en quelques minutes. Voyons. Apocalypse 5.9. Lisons donc un ;Apocalypse 5:9, Apocalypse 5:9, Apocalypse 6:11, Apocalypse 6:0, Apocalypse 6:0, Apocalypse 6:11
63-0324M;SKN;274;Mais Il était tellement décidé à ne pas me laisser commettre cette erreur qu’Il m’a fait revenir lire le reste de ce verset. Je... C’est comme si Quelque Chose m’avait envahi, comme une vague qui disa;Apocalypse 6:0, Apocalypse 6:11, Apocalypse 7:14, Apocalypse 6:6, 1 Corinthiens 11:24
63-0324M;SKN;282;Non. Celui–celui des Gentils qui aura été oint de cet esprit-là, pour appeler les Gentils à sortir, sera enlevé. En effet, vous voyez, l’Eglise entière aura été enlevée, tout aura été enlevé. Et ces d;Apocalypse 6:6, 1 Corinthiens 11:24
63-0324M;SKN;329;"Il était entré. Et Il leur a dit: «Liez-lui les pieds et les mains; jetez-le dehors, dans les ténèbres du dehors, où il y aura des pleurs, des gémissements et des grincements de dents.» Voyez? Il est ";Apocalypse 11:3, Malachie 4:0, 1 Rois 19:0, Malachie 3:0, Malachie 4:0
63-0324M;SKN;343;Satan a été relâché de sa prison, et il est allé rassembler tous les peuples, les méchants, pour les amener à cet endroit-là. Alors Dieu a fait pleuvoir du feu et du soufre, et ils ont été consumés, v;(aucune ref proche)
63-0324M;SKN;372;Et, ces autres prophètes, c’est difficile à dire, lorsqu’ils sortiront de la Judée là-bas, je ne sais pas où ils demeureront. Peut-être qu’ils camperont quelque part sur la colline, ou bien... Mais ce;(aucune ref proche)
63-0324M;SKN;378;Je vais poser une question. Comment se fait-il que quand... Jésus, dans Jean, chapitre 3, Il a dit: «Quand le Fils de l’homme sera... qui est maintenant dans le Ciel (Voyez?)... qui est maintenant dan;(aucune ref proche)
63-0324M;SKN;396;Par conséquent, il n’est question de la chair humaine que pour ce qui est d’accomplir l’acte, comme il en est du baptême, ou autre, avec la commission qui dit: «Voici les miracles qui accompagneront c;(aucune ref proche)
63-0324M;SKN;411;Ô Dieu, sur ce charmant petit couple, qui a mis au monde un des...?... Puissent-ils recevoir ce qu’ils demandent, Seigneur, au Nom de Jésus-Christ.;(aucune ref proche)
64-0823E;SKN;3;Il y avait environ trente ou quarante questions de plus. Je – je ne sais pas comment j’arriverai à les prendre. J’ai bien essayé, cet après-midi, de voir si je pouvais même les réduire à un nombre nor;(aucune ref proche)
64-0823E;SKN;21;Maintenant, que le Seigneur vous bénisse chacun. Nous allons tout de suite nous attaquer aux questions, et maintenant pendant environ... jusqu’à environ une heure quinze... Je ne saurai pas répondre à;(aucune ref proche)
64-0823E;SKN;27;Maintenant, comme nous commençons avec ces questions ce soir, j’en prendrai une ici et... Les appréciez-vous? Dites : «Amen!» [L’assemblée dit : «Amen!» – N.D.E.] Je pense que cela nous est profitable;(aucune ref proche)
64-0823E;SKN;33;Mais maintenant, regardez, laissez-moi juste vous demander... Laissez-moi dire ceci en réponse à cette question. Maintenant, êtes-vous prêts? Et pour vous qui écoutez la bande, voici la chose, soeur :;(aucune ref proche)
64-0823E;SKN;39;"Allez de l’avant et mariez-vous, voyez-vous? Continuez simplement comme si vous alliez vivre encore une centaine d’années ici sur terre. Allez tout simplement de l’avant; continuez à ne désirer que Ch";Jean 14:0
64-0823E;SKN;53;Il y a ici plusieurs questions sur : «Eh bien, est-ce que l’Epouse va...? Est-ce que ceci va...? L’Eglise et...» Voyez-vous? Vous – vous ne pouvez pas les séparer. L’Epouse, ce sont les Elus de Dieu. ;(aucune ref proche)
64-0823E;SKN;60;Un homme qui se marie devrait premièrement aborder cela avec beaucoup de prières. Vous ne devriez pas choisir une femme pour sa beauté extérieure, mais plutôt pour sa beauté intérieure, une femme qui ;(aucune ref proche)
64-0823E;SKN;69;"Une – une jeune fille est venue me voir; c’était une jeune fille Dunkard [membre d’une dénomination du groupe baptiste d’origine allemande – N.D.T], qui venait de recevoir le Saint-Esprit. Elle appart";(aucune ref proche)
64-0823E;SKN;76;Lorsque je suis allé à Saint-Angelo, à Rome (maintenant, pensez à ceci), au Vatican, à Rome, en Italie, ils avaient là, à Saint-Angelo, un écriteau disant : «Aux femmes américaines : Avant d’entrer da;(aucune ref proche)
64-0823E;SKN;82;«Est-ce que mon mari entendra la Parole, et que dois-je faire?» Comme je l’ai dit ce matin, soyez simplement salée! «Vous êtes le sel de la terre.» Votre mari verra votre manière de vivre chaste, et l;(aucune ref proche)
64-0823E;SKN;91;J’ai dit : «Mais un instant! Ce n’est pas contre Dieu que vous avez mal agi, mais vous êtes allée à l’encontre de vos vœux de mariage. Vous devez retourner vers votre mari et arranger cela d’abord.» E;(aucune ref proche)
64-0823E;SKN;97;Paul dit : «Quand je parlerais les langues des hommes et des anges, quand je donnerais mon corps pour être brûlé en sacrifice, quand je comprendrais tous les mystères de la Parole, quand je donnerais ;(aucune ref proche)
64-0823E;SKN;105;Et maintenant, quelle était cette autre question? Je deviens si tendu à propos de ces questions que j’oublie où on en était. L’une d’elles était si j’étais le Fils de l’homme, et... je pense que c'est;Hebreux 11:0
64-0823E;SKN;120;Or, cette pierre ne pourra pas s’ajuster là, au fondement de base ni au deuxième fondement ni au troisième fondement. Elle ne s’ajustera qu’au dernier fondement, quand l’édifice tout entier s’ajustera;Hebreux 11:0
64-0823E;SKN;146;Maintenant, «Naîtra-t-il des enfants dans le Millénium, ce règne de mille ans?» C’est la question que je me pose moi-même et dont je vous ai parlé l’autre jour. Je ne sais pas. Il semble tout à fait q;Matthieu 12:0
64-0823E;SKN;152;Oui! C’est – c’est mauvais pour n’importe quelle femme de se couper les cheveux. C’est juste une toute petite question. Avez-vous – avez-vous sommeil? Eh bien, nous – nous irons aussi vite que possibl;(aucune ref proche)
64-0823E;SKN;159;Une pauvre et brave petite femme commettra l’erreur d’épouser un alcoolique et – et ils se retrouveront dans cette situation, ou plutôt un pauvre homme qui aura épousé une prostituée sans le savoir, s;(aucune ref proche)
64-0823E;SKN;179;J’ai justement de bonnes questions ici, qui rejoignent celle-là : «Qui était cet homme en robe qui était entré et qui n’avait pas la robe de noces?», ainsi que toutes les questions qui se rattachent d;Hebreux 7:0
64-0823E;SKN;190;Non! Non! Ne vous mettez pas cela en tête, frère. Continuez à construire la maison. Continuez à faire tout ce que vous pouvez. Continuez simplement votre chemin jusqu’à ce que vous soyez appelé. Voyez;Matthieu 12:40
64-0823E;SKN;199;"Lisez les lois de l’Ancien Testament à ce sujet, voyez-vous? Dans la loi de l’Ancien Testament, si vous promettiez à une femme de l’épouser et que vous en épousiez une autre, vous commettiez adultère;";Matthieu 12:40, Jean 14:26
64-0823E;SKN;206;"Ainsi, le fait qu’il soit parlé de trois jours et trois nuits ne signifie pas qu’il devait en être exactement ainsi; c’est à un certain moment dans l’intervalle de ces trois jours et trois nuits. Il d";Jean 14:26, Matthieu 10:41
64-0823E;SKN;215;Pourrais-je dire à ma femme que je l’aime et – et avoir un rendez-vous avec une autre femme et courir çà et là, et ensuite lui dire sincèrement que je l’aime? Pensez-vous que ce serait un véritable am;Matthieu 10:41
64-0823E;SKN;221;Comme pour la femme sunamite, cela peut parfois vous être utile, voyez-vous? Ce fut le cas pour elle, voyez-vous? Observez les serviteurs de Dieu. Oh! la la! Maintenant, nous sommes... Il – Il me faut;(aucune ref proche)
64-0823E;SKN;228;Et j’en pense la même chose. Quand on vous voit là-dedans au milieu de toute cette fumée et ce chahut, et que l’on connaît votre témoignage... et tous les jurons et – et toutes les railleries qu’il y ;(aucune ref proche)
64-0823E;SKN;241;Cette grande Cité, qui se trouvera là (eh bien, voyez-vous, cela ne... Vous dites : «1500 miles [2413,5 km – N.D.T.] de haut?» C’est ce que la Bible dit. Or, ce ne sera pas 1500 miles à la verticale c;Esther 21:0
64-0823E;SKN;250;Ce n’est pas mon intention de répondre à ces questions, peut-être parfois d’une façon contraire. Si vous ne le croyez pas, c’est parfaitement en ordre. Je désire que vous m’aimiez quand même, parce qu;(aucune ref proche)
64-0823E;SKN;258;Or, il n’y a aucune loi indiquant d’observer un certain jour, parce que vous entrez dans le Sabbat de la paix quand vous entrez en Lui. J’ai là-dedans cette question à laquelle je répondrai de toute f;(aucune ref proche)
64-0823E;SKN;276;Seigneur Jésus, la fin d’un jour parfait... C’est comme quand nous nous tenons au sommet de la montagne et que nous regardons le soleil, quand les rayons rouges apparaissent là-bas, derrière les grand;(aucune ref proche)
64-0823E;SKN;285;Et, Père, au temps fixé par Toi... Je suis Ton serviteur. Si Tu désires que je continue ces questions la semaine prochaine, ou que je m’occupe de ces entrevues, révèle-le-moi, Seigneur, et fais-le-moi;(aucune ref proche)
64-0823M;SKN;4;Maintenant, nous sommes... Il y a tant à faire aujourd’hui. Je pensais, pendant que j’étais ici, que peut-être je prendrais quelques questions qui me permettraient de savoir ce qu’il y a sur le cœur d;(aucune ref proche)
64-0823M;SKN;11;Maintenant, que le Seigneur soit avec vous et vous bénisse abondamment. Et aussitôt que ce service sera terminé, j’irai chercher les autres questions et j’essaierai d’y répondre. J’inscris simplement ;(aucune ref proche)
64-0823M;SKN;26;Mais quand il vous arrive de sortir et de porter peut-être tel genre de blouse et de vous exhiber avec des courroies et différentes choses qui donnent une apparence impie et font que les hommes... réa;Matthieu 24:19, Matthieu 24:19, Matthieu 24:24
64-0823M;SKN;32;Maintenant, je les ai simplement empilées ici et je veillerai à ce qu’aux environs de midi moins cinq je puisse vous congédier. Et alors, revenez ce soir à 18h30'. La première question que j’ai, je cr;Matthieu 24:19, Matthieu 24:19, Matthieu 24:24
64-0823M;SKN;40;Et maintenant, voyez-vous ce qui est arrivé? Il dit alors : «Malheur à celles qui seront enceintes et à celles qui allaiteront en ces jours-là», voyez-vous, parce que lorsqu’il faudra fuir et courir..;Matthieu 24:24, Matthieu 24:26, Matthieu 24:28
64-0823M;SKN;46;"Maintenant, vous prédicateurs, je sais que cela va faire mal, mais je réponds à des questions; et je veux – je veux que vous compreniez cela, voyez-vous? Je vous dis simplement – simplement la Vérité ";Matthieu 24:26, Matthieu 24:28
64-0823M;SKN;52;Cela signifie qu’il y aura des antichrists, des anti-onctions, etc. Et que veut dire «anti»? «Anti» veut dire «contre». Ces mêmes créatures seront contre la Parole. Et elles seront dans le désert et d;Matthieu 24:28, Actes 10:47, Actes 22:16
64-0823M;SKN;58;Maintenant, la première chose qui arrive quand nous serons ressuscités... Ceux qui seront vivants resteront simplement encore... La résurrection arrivera premièrement, la résurrection de ceux qui dorm;Actes 10:47, Actes 22:16
64-0823M;SKN;64;Maintenant, pour commencer, cette question était : «Quand est-on sauvé?» Et la suivante – celle qui vient après : «Les péchés peuvent-ils être pardonnés en dehors du baptême d’eau, car Corneille avait;(aucune ref proche)
64-0823M;SKN;85;Maintenant, frères de la foi trinitaire, ceci n’est pas pour vous dénigrer, mes chers frères, je ne fais que répondre à des questions. Je ne fais qu’exprimer ce que j’en pense vraiment. Cette bande ar;Actes 19:0, Galates 1:8
64-0823M;SKN;98;Maintenant, il en est de même pour cette question-ci sur le baptême d’eau, voyez-vous? Dieu savait que ces gens allaient être baptisés au Nom de Jésus-Christ. Et Paul déclara qu’aucun homme, ni même u;Genese 6:4
64-0823M;SKN;107;Maintenant, cette – cette question sur la semence du serpent est là-dedans, ainsi nous allons... nous allons y arriver et je veux que vous gardiez ceci à l’esprit, voyez-vous? Ceci servira de base.;(aucune ref proche)
64-0823M;SKN;113;Et, voyez-vous, lorsqu’il vit Eve dans cette condition, il... Satan entra en lui et le fit... Voyez-vous, Adam n’avait pas encore découvert cela. Je – je ne sais pas comment le dire. Ce serait en ordr;(aucune ref proche)
64-0823M;SKN;121;C’est comme une dame me l’a aimablement écrit l’autre jour (c’est ici, dans une de ces questions) disant : «Frère Branham, vous n’êtes pas le Messie, n’est-ce pas?» J’ai répondu : «Non, Madame.» Elle ;(aucune ref proche)
64-0823M;SKN;136;Maintenant, je ne dis pas cela pour blesser vos sentiments, je ne fais que répondre à des questions. Vous m’avez posé sincèrement la question et je vous réponds sincèrement. Si vous trouvez la solutio;(aucune ref proche)
64-0823M;SKN;144;Bon, eh bien, maman, quand... Ma soeur, si votre mari veut que vous alliez à l’église méthodiste, allez-y. Vous n’aurez peut-être pas un pain entier, mais s’ils disent aussi qu’ils croient que Jésus-C;Luc 21:36
64-0823M;SKN;154;Jésus a dit : «Celui qui aime le monde (eh bien, le cosmos), ou les choses du monde, l’amour de Dieu n’est même pas en lui.» Il n’est pas amoureux du fiancé. Voyez-vous? C’est pourquoi elle doit en su;Luc 21:36, Jean 5:19
