ref;occurrences;top_sermons;resume_amorce
1 Corinthiens 12:0;40;"SKN 57-0908M; SKN 57-1002; SKN 58-0207; SKN 63-0901M; SKN 64-0614M";"Si on vous dit : ""Avant d'être sauvé, vous devez devenir catholique ou presbytérien, ou vous devez faire ceci"", vous n'y prêterez aucune attention. Ainsi donc, il n'y a aucune condamnation pour ceux qui sont en Jésus-Christ, qui ne marchent pas selon la chair (les choses qu'ils voient). Tout ce que vous voyez avec vos yeux, c'est terrestre. Mais ce sont les choses que vous voyez dans votre esprit, par la Parole. La Parole est le miroir de Dieu, qui reflète ce qu'Il est et ce que vous êtes. Alléluia! Oh! la la! Elle vous dit... Ceci est le seul Livre au monde qui vous dit d'où vous venez, qui v"
Jacques 5:14;40;"VGR 64-0427; SKN 64-0427; SKN 64-0621; SKN 64-0405; VGR 64-0405";Il prétend avoir été à une soi-disant réunion du Saint-Esprit, où des gens proclamaient que Marc 16 est la Vérité. Et bien des gens déclaraient avoir été guéris, là, conformément à Ce qui est dit dans Marc 16 : “Ils imposeront les mains aux malades, et les malades seront guéris.” Et cet homme affirme qu’il disait croire en Dieu. Il avait écouté ce soi-disant prédicateur du Saint- Esprit, et il…ce groupe du Saint-Esprit qui rendait toutes sortes de témoignages. Il était malade dans son corps, et il avait demandé à ces gens de lui imposer les mains à cette réunion du Saint-Esprit. UN PROCÈS 9 Ça
Luc 17:0;39;"SKN 64-0401; SKN 64-0719M; VGR 64-0719M; SKN 65-1206; VGR 65-1206";Maintenant, suivez. Le Fils, F-i-l-s, s’est levé comme le Messie sur les gens de l’Orient. Et alors, depuis qu’Il est parti, nous avons eu un jour des dénominations, des rassemblements et–et autres. Nous avons eu assez de lumière, comme par un jour brumeux, quand les nuages couvrent le soleil. Et on–on a eu des dénominations. On a construit des hôpitaux. On a construit des écoles. On a formé des organisations. On a fait toutes sortes de choses, exactement comme on était censé le faire. Mais Il a dit: «Vers le soir, la Lumière paraîtra.» Ce même Jésus, dans la puissance de Sa résurrection, ress
Psaumes 22:0;38;"SKN 65-1206; VGR 65-1206; SKN 59-0329S; VGR 59-0329S; SKN 63-0728";"Michée resta assuré, sachant qu'il avait l'Esprit de Dieu. Sa prophétie et ses visions étaient vraies. Son Message était vrai, car, c'était ""AINSI DIT LE SEIGNEUR"" venant des visions, AINSI DIT LE SEIGNEUR venant de la Parole. Ça devait être vrai; c'était l'AINSI DIT LE SEIGNEUR. Il a dit: ""Si jamais tu reviens, Dieu ne m'a point parlé!"" Et vous savez ce qui est arrivé. Certainement. Voyez, vous… Comprenez bien, frères. Ecoutez. Assurément, Caïphe ne pouvait comprendre cela. Pourquoi n'a-t-il pas cherché là… Il était un - il était un évêque, il était le pape de toutes les églises réunies. Pour"
Matthieu 10:0;37;"SKN 58-0223; SKN 59-0422; SKN 60-0911E; SKN 59-1217; SKN 63-0318";Et en route, vers l’autre côté, sans doute que selon leur témoignage, comme Nathanaël l’a donné... ou plutôt Philippe l’a donné à Nathanaël, il lui a parlé peut-être de ce que Pierre s’était approché, qu’Il lui avait dit son nom, ou il lui a dit: «Te souviens-tu de ce vieux pêcheur là à la rivière?» «Oui.» «Eh bien, Il lui a dit qui il était, qui était son père, quand il est arrivé là.» Oh! Je peux bien me représenter Nathanaël dire: «Eh bien, juste une minute, Philippe, tu as probablement perdu la tête. Tu dois t’être joint à certains de ces saints exaltés, ou quelque chose comme cela. Qu’est
Genese 1:26;37;"SKN 53-0729; VGR 53-0729; SKN 62-0527; VGR 62-0527; SKN 61-0312";Nous avons en vue une - une série de réunions pour très bientôt maintenant, ne l'oubliez pas. Ça sera au stade de Chicago, du 23 août au 5 septembre. Nous nous attendons à un grand moment dans le Seigneur, là-bas. Et maintenant, cela a été annoncé partout, et tous les différents journaux en parlent. Nous nous attendons à un grand moment. J'en ai maintenant une, deux, trois, quatre, cinq, six, je pense, sur une page ici. Et toutes se rapportent à peu près à la même chose, là, dans - dans le Livre de la Genèse. Bon, premièrement, c'est Genèse 1:26 ou plutôt 1:26 à 28, c'est là que la - la person
Hebreux 1:0;34;"SKN 64-0629; VGR 64-0629; SKN 64-0208; SKN 64-0614M; SKN 63-0116";"Or, chez moi, je suis trois personnes différentes. Dans mon foyer, ma femme a des droits sur moi comme mari. Ma fille, là-bas, n’a aucun droit sur moi en tant que mari; je suis son père. Et mon petit-fils là, je suis un grand-père pour lui; il n’a donc pas le droit de m’appeler père. Je ne suis pas son père; c’est mon fils qui est son père. Je suis son grand-père, mais je suis toujours le même homme. Dieu, ce qu’Il fait, c’est qu’Il se transforme par rapport à cette génération-là pour se faire connaître à ces gens. Et c’est ce que nous voulons découvrir ce soir : De quelle façon Dieu est-Il ce"
Psaumes 103:3;33;"SKN 57-0114; SKN 58-0207; SKN 58-0223; SKN 58-0312; SKN 58-0523";La question du péché est réglée quand le Saint-Esprit entre dans le coeur humain. Il faut... Il renverse les raisonnements. Il va au-delà de notre faculté intellectuelle. Eh bien, aujourd’hui, la raison pour laquelle il y a trop de hauts et de bas et des choses parmi les gens religieux, c’est qu’il y a une conception intellectuelle de Christ. En d’autres termes, c’est dans leur esprit et non dans leur coeur. Voyez-vous cela? Ils croient simplement cela mentalement. Et vos facultés mentales raisonneront: «Cela peut-il être vrai? La guérison divine peut-elle être vraie? Le baptême du Saint-Espri
Apocalypse 21:0;32;"SKN 64-0802; VGR 64-0802; SKN 63-0317M; SKN 57-1002; SKN 60-1218";"Ainsi donc, plus tard, sur le... le Seigneur voulant, on entrera dans le douzième... sceaux, ou pas... Excusez-moi, le chapitre 12 de l’Apocalypse, qui se situe entre la Venue du Seigneur et la fin des Trompettes, et ainsi de suite. On tâchera de ramener tout ça, de montrer qui est Satan, et ce qu’il a fait, d’où il est venu, quel est son but, et comment sa grande beauté qui lui a été donnée a provoqué sa chute. C’est sa séduction qui a causé sa chute; la beauté. Ensuite, comment il est impossible pour tout homme qui veut considérer ça comme il faut, la semence du serpent. Là-dessus, je défier"
Jean 3:0;32;"SKN 54-1114; VGR 54-1114; SKN 62-1014M; SKN 59-0628E; SKN 62-1111E";Maintenant, nous sommes... Je vais faire de mon mieux maintenant pour terminer dans environ... Oh ! oui, les classes de l’école du dimanche... Maintenant, où vont-ils, Frère Neville? La classe de l’école du dimanche, les petits enfants et les autres iront à–à l’arrière de la salle, et si les adultes veulent bien avancer un petit peu, eh bien, vous serez plus qu’heureux. Si vos petits enfants sont ici ce matin, voulez-vous les envoyer là-bas, eh bien, envoyez-les tout simplement derrière. Je suis sûr qu’ils ont un bon enseignant là-bas, qui ne leur enseignera rien d’autre que le Seigneur Jésus.
Exode 19:0;31;"SKN 61-0316; SKN 61-0317; SKN 56-0223; SKN 64-0614M; SKN 61-0217";Maintenant, vous qui avez l'habitude de noter les Ecritures, je vais vous demander ce soir d'aller dans le livre de Deutéronome, au chapitre 2, le verset 3, pour le texte. Vous avez assez suivi les contours de cette montagne. Tournez-vous vers le nord. J'aime enseigner à partir de l'Ancien Testament, parce que l'Ancien Testament est le type du Nouveau. Pendant que nous nous approchons ce soir de ce texte très solennel et très sacré (comme toute Sa Parole est solennelle et sacrée), je désire établir un parallèle entre l'Ancien et le Nouveau Testament, entre les jours passés et les jours présent
Jean 14:7;31;"SKN 56-0225; SKN 57-0114; SKN 58-0214; SKN 61-0414; SKN 62-1014M";"Observez, c’est que Jésus savait qu’il avait fait longtemps là dans cet état. Il savait où il était. Juste une minute, nous allons aborder cela. Il a dit: «Je n’ai personne pour me jeter dans l’eau, Seigneur.» Eh bien alors, il pouvait marcher. Il a dit: «Pendant que je descends, quelqu’un (en d’autres termes) court plus vite que moi et entre là le premier.» Il pouvait marcher ; il pouvait se déplacer. Il n’était pas boiteux, ni estropié, ni aveugle, ni infirme. Il souffrait juste d’une espèce de maladie qui avait duré. Il a dit: «Pendant que je me dirige vers l’eau, quelqu’un d’autre descend "
Matthieu 27:0;29;"SKN 57-1002; SKN 65-0410; VGR 57-1002; SKN 62-0422; VGR 62-0422";"Et maintenant, souvenez-vous que quand Il est mort, Il est d'abord allé prêcher aux âmes qui n'étaient pas en prison... qui étaient en prison, et a témoigné qu'Il était ""la Postérité de la femme"". Il était ""Celui qu'Enoch a vu venir avec des myriades de Ses saints"". Il devait rendre témoignage des Ecritures qui avaient été prêchées par Noé et par Enoch et par les justes, qu' ""Il était Celui-là!"" Tout devait reconnaître cela! Ensuite, Il est allé au séjour des morts et a reçu les clefs de la mort et du séjour des morts de la part du diable. Il est remonté au paradis, et a emmené Abraham, Isaac,"
Jean 17:17;29;"SKN 59-1217; SKN 61-0217; SKN 59-0628E; SKN 63-0320; SKN 59-1219";Maintenant, nous allons dire... montrer dans un moment qu’il n’y a que ceux qui sont remplis du Saint-Esprit qui partent dans cet Enlèvement. «Car les autres morts ne revinrent pas à la vie pendant une période de mille ans.» C’est vrai. Il n’y a que les gens remplis du Saint-Esprit qui sont partis dans l’Enlèvement. Or, Dieu a donné le Saint-Esprit... J’ai un autre passage de l’Ecriture ici dans Jean 14.12. C’est un passage très familier à tous les gens du tabernacle ici. «En vérité, en vérité, je vous le dis, celui qui croit en moi...» Maintenant, ne laissez pas ce mot croit vous arrêter, en 
Deuteronome 18:15;29;"SKN 64-0617; VGR 64-0617; SKN 64-0629; VGR 64-0629; SKN 64-0427";Dieu n’a besoin d’aucun interprète. Il interprète Sa propre Parole. La Bible dit : « Elle ne peut être l’objet d’une interprétation particulière. » C’est Dieu Lui-même qui révèle. Il le fait. Au commencement, Il a dit : « Que la lumière soit », et la lumière fut. Cela n’a besoin d’aucune d’interprétation. Le… Dieu a dit : « Une vierge concevra. » Elle a conçu. Cela n’a besoin d’aucune interprétation. Dieu a dit que dans les derniers jours, Il répandrait de Son Esprit sur toute chair, et Il l’a fait. Cela n’a besoin d’aucune interprétation. C’est toujours la Parole. La Parole est Dieu. Dieu a a
Marc 11:22;27;"SKN 63-0317M; SKN 63-1128M; SKN 62-0120; SKN 60-1127M; SKN 64-0427";Maintenant je voudrais vous demander quelque chose. Si le sang d’un taureau ou d’un bouc, utilisé comme décolorant, alors qu’il ne peut que couvrir, a pu mettre un homme en position de prononcer la Parole créatrice de Dieu pour créer des mouches, pourquoi trébucheriez-vous sur le décolorant du Sang de Jésus-Christ qui a créé un écureuil, ou quelque chose de ce genre, par la Parole? Ne faites pas cela, ne vous achoppez pas à la simplicité. Croyez qu’Il reste toujours Dieu. Oh! la la! Le péché est pardonné... Oh! comme j’aimerais pouvoir... Et puis, dans Marc 11.22: «Si vous dites à cette montag
Jean 5:7;27;"VGR 57-1002; SKN 56-0225; SKN 57-1002; SKN 62-0909M; SKN 62-1007";Et ici nous pouvons supplier les gens, et mettre des annonces dans le journal et tout le reste, et louer les endroits les plus confortables pour qu’ils puissent s’asseoir, offrir le meilleur divertissement avec de beaux chants, ils viendront et : “Ouââââh, bon, c’était pas trop mal, mais ils sont d’une autre confession que moi.” Oh! la la! jusque—jusque—jusqu’à quand cela peut-il durer? Ce n’est pas…ce n’est pas bien. Et ici nous jetons à la poubelle des milliards de tonnes de nourriture, que ces gens accepteraient avec joie. Ils sont des créatures de la terre autant que nous. Oh, nous… Eh bie
Actes 1:8;27;"SKN 60-0911E; VGR 60-0911E; SKN 59-1216; SKN 54-0515; SKN 62-1013";Mais maintenant, prenons la deuxième pensée, ainsi nous pourrons essayer de tout terminer. Qui L'a fondé? Il s'agit de ce Corps mystique. Qui L'a commencé? Jésus-Christ. Et c'est le... Il est la Tête de ce Corps mystique. Il est le Roi qui règne sur Celui-ci, accomplissant Sa propre volonté dans Son Empire. Il ne s'agit pas du contrôle d'un évêque ou du contrôle d'un conseil d'église, mais plutôt du Roi qui est le Messie Lui-Même, agissant dans Son propre Domaine. Quand cela a-t-il commencé? A la Pentecôte. Non pas l'organisation pentecôtiste, mais l'expérience de la Pentecôte. C'est à ce mome
Apocalypse 22:0;27;"SKN 65-1205; VGR 65-1205; SKN 64-0614M; SKN 59-1223; SKN 64-0816";Pour vous qui prenez les bandes, maintenant, au sujet du message de la justification, je voudrais que vous le preniez... Et vous recevez bien les bandes, n'est-ce pas, pour saisir cela? J'en ai parlé ici il y a quelque temps. Regardez vos parents terrestres, avant que vous arriviez ici, avant de vous voir arriver, ils ont préparé votre venue. Pensez-y, là: vos parents terrestres, et les parents terrestres ne sont qu'un type de notre Parent céleste. «Si nous, nous savons donner de bonnes choses à nos enfants, à combien plus forte raison votre Père qui est dans les cieux donnera-t-Il de bonnes c
Matthieu 11:0;26;"SKN 64-0500; SKN 63-0324M; SKN 59-0823; SKN 65-1127B; SKN 55-0311";"Frère Vayle, à la page… (C'était donc quel numéro? Je l'ai oublié ) 41, page 41. Et à côté, c'est le numéro 5. C'est vraiment merveilleux, ce qu'il y a ici. J'apprécie vraiment ceci. Et j'apprécie tout cela. Et ici, c'est vraiment remarquable. Quand Moïse parlait ici d'un… un - un - un… qui serait suscité, que le Seigneur susciterait un prophète comme lui. Vous voyez, Dieu Lui-même lui avait parlé dans un feu sur la montagne. Et Il leur a promis ici qu'Il ne le ferait plus, mais qu'Il leur parlerait toujours par un prophète. Vous voyez? ""L'Eternel votre Dieu suscitera un prophète."" Vous voyez,"
Genese 2:0;26;"SKN 57-1006; SKN 53-0729; VGR 53-0729; VGR 57-1006; SKN 54-0515";"Eh bien, de là, Caïn s'en alla et épousa sa femme au pays de Nod. Maintenant, on ne dit pas qui Seth avait épousée ni qui les autres avaient épousées. Ce qui est vraiment intéressant là-dessus, c'est de savoir que Caïn s'est marié, nous avons la réponse à cela. En effet, il a dû épouser sa soeur, sinon il - sinon il y aurait eu une... Il n'y avait pas d'autres femmes sur terre, en dehors de celles qui devaient provenir d'Eve. Elle était la mère de tous les vivants, c'est-à-dire de tous ceux qui vivaient; elle était leur mère. C'est la raison pour laquelle elle... le mot ""Eve"" signifie ""la mère"
Romains 4:0;25;"SKN 56-0223; SKN 59-1216; SKN 59-0628E; VGR 59-1216; SKN 65-1126";"Et Il a dit à Abraham, elle... Sara avait soixante-cinq ans et Abraham, soixante-quinze ; et alors, le vieil homme allait çà et là, témoignant, disant qu’il aurait un enfant. Pouvez-vous vous représenter ce qui arriverait aujourd’hui si quelque chose comme cela... Eh bien, si le père Abraham vivait aujourd’hui, à soixante-quinze ans, et sa petite femme Sara marchait en titubant, qu’ils allaient chez un médecin prendre des dispositions pour la naissance d’un enfant, savez-vous ce qu’on dirait? On dirait: «L’esprit du vieil homme a dérapé.» Voyez? «Il y a quelque chose qui cloche chez lui.» Assu"
Romains 8:0;25;"SKN 58-0927; VGR 58-0927; SKN 56-0223; SKN 65-1127B; SKN 59-0628E";"Que se passe-t-il? Oh! C’est un ticket de repas. «Eh bien, vous savez, je suis le pasteur de la plus grande église de cette ville.» Vous, baptistes et méthodistes, vous écoutez un faux prophète. Eh bien, c’est dur, mais tout celui qui enseigne contrairement à cette Bible est un faux prophète. Peu importe combien ça peut être raffiné, c’est une fausse prophétie. C’est vrai. Oh! Tout est en ordre tant que votre nom est inscrit dans le Livre. Votre nom est inscrit peut-être dans une douzaine de livres; s’il n’est pas dans le Livre de Vie, vous êtes perdu. Vous pouvez être tout ce qu’il y a de mei"
Apocalypse 7:0;25;"SKN 63-0324E; VGR 63-0324E; SKN 60-1211M; VGR 60-1211M; SKN 63-0728";"J’aime vraiment ça! Vous savez, Il a dit que même les cheveux de votre tête sont tous comptés. Hmm! Remarquez, Il ne perd rien. «Je le ressusciterai au dernier jour.» Bien qu’ils aient perdu les–les–les bannières de leurs tribus et leurs... et ne sachent plus l’identité de chacun, s’ils sont ceci ou cela; ils ne savent pas s’ils sont de la tribu de Benjamin, ou bien s’ils sont de celle de Ruben, ou–ou d’Issacar, ou d’où ils viennent. Mais, quand même, voici que Dieu les appelle. Maintenant, remarquez, dans Apocalypse 7, nous lisons ceci. «Douze mille» de chaque tribu, les élus, sur tous ceux q"
Matthieu 3:0;25;"SKN 57-0908E; VGR 57-0908E; SKN 61-0112; VGR 61-0112; SKN 61-1112";"Paul dit : ""Le Juif, ce n'est pas celui qui en a les apparences, mais le Juif, c'est celui qui l'est intérieurement."" (Celui qui l'est selon la promesse.) Et nous sommes la postérité d'Abraham selon la promesse, par Christ, quand nous L'acceptons comme notre Sauveur personnel. Oh! j'espère que vous voyez cela! J'espère que vous comprenez cela (si vous pouvez vous en tenir un peu à cela...) Maintenant, nous terminons ceci par ici, puis nous commencerons avec Melchisédek, ce qui nous ramène directement à ceci. Nous commençons directement avec... Oh! c'est simplement... c'est vraiment merveilleux"
Hebreux 1:1;24;"SKN 65-0822M; VGR 65-0822M; VGR 64-0320; SKN 64-0311; SKN 64-0320";"Ne... Quelqu'un qui dirait... À un moment donné, un certain Chrétien de cette église-ci avait fait faire du travail sur une voiture. Et cet homme est venu... Il avait dit à cet homme: ""Je vais vous payer. Je touche ma paie samedi"", ou quelque chose comme cela. Et il ne l'a jamais payé. Les semaines, une après l'autre, se sont écoulées; il ne l'a jamais payé et n'est jamais allé lui en parler. Et... et cet homme est venu me demander... il a dit... Voyez-vous, cela nuit à la réputation de l'Eglise. Cela jette l'opprobre sur Christ. Si vous ne pouvez pas le payer, allez le lui dire; dites: ""Je su"
Esaie 35:0;23;"SKN 52-0900; SKN 63-1128E; SKN 60-0626; SKN 61-0425B; SKN 63-1124E";"Ô Dieu, puisse cela être l’expérience de–de tout celui qui n’est pas né de nouveau ici ce soir. Qu’ils reçoivent le Saint-Esprit ce soir. Si nous avons commis n’importe quel péché, pardonne-nous, Seigneur. Guéris les malades. Bande les coeurs brisés. Et maintenant, Seigneur, je ne sais même pas par où commencer à parler ce soir, mais Tu pourvoiras. Je Te crois, et je Te demande de nous donner quelque chose qui aidera les gens, car nous le demandons en Son Nom. Amen. Juste comme petit passage des Ecritures ici, j’aimerais lire dans Esaïe 35. En effet, mes paroles failliront; la Parole de Dieu n"
Jean 11:0;23;"SKN 64-0417; VGR 64-0417; SKN 52-0900; SKN 58-0312; SKN 58-0510";Maintenant, mon sujet ce soir... N’oubliez donc pas pour demain soir. Nous allons essayer de rester peut-être un peu plus longtemps. J’aimerais arriver ici un peu plus tôt demain soir, parce que j’aimerais... Demain soir, c’est plutôt une soirée que nous allons consacrer au salut, où nous allons juste insister sur l’appel à l’autel, insister pour que ces gens reçoivent le baptême du Saint-Esprit. Et un soir, ou plutôt un jour, avant que je ne parte, j’aimerais parler sur le... un sujet sur le Sang, Le Signe, le Sang qui est censé être sur la porte, si le Seigneur le veut. Maintenant, ce soir. 
Jean 12:0;23;"VGR 64-0705; SKN 58-0515; SKN 64-0705; SKN 63-0318; VGR 63-0318";Remarquez, et au commencement, c’était l’original. Comme Jésus l’a dit : “La Parole de Dieu est une Semence qu’un semeur a semée.” Et Il était le Semeur. La Semence, c’était la Parole. Et, remarquez, toute semence qui reste seule ne produira jamais rien. Elle doit tomber en terre pour donner de nouveau sa production. Et cette Semence, cette Église parfaite, elle est tombée en terre à Nicée, Rome, quand elle est devenue une dénomination. Maintenant, les historiens, souvenez-vous. Et vous qui allez écouter cette bande, vérifiez-le et vous verrez si c’est bien juste. L’église est morte à Nicée, R
Matthieu 5:0;22;"SKN 63-0324M; SKN 61-0611; SKN 60-0710; SKN 60-1205; VGR 60-1205";"Mais maintenant, lorsqu’il a tué Abel, et que Dieu lui a redonné Seth, c’était un type du juste à racheter, qui meurt et puis ressuscite. Et de là... Maintenant, suivez attentivement. Pas par la première semence, la semence naturelle; ils sont morts. (Eh bien, êtes-vous attentifs? Voyez?) La première semence, de la semence naturelle, qui était bonne juste naturellement, c’était le type de l’église moderne: Abel. Pour préserver cette lignée qui allait venir, celle-là est morte, pour qu’une autre puisse être suscitée (Vous voyez?), il faut donc qu’elle renaisse de nouveau. Saisissez-vous cela? T"
Actes 4:0;22;"VGR 63-0608; SKN 57-0114; SKN 61-0414; SKN 59-1217; SKN 63-0116";Mais qu’est-ce qu’il a dit? “Repentez-vous, chacun de vous, et soyez baptisés au Nom de Jésus-Christ pour la rémission de vos péchés, et vous recevrez le don du Saint-Esprit. Car la promesse est pour vous et pour vos enfants, et pour ceux qui sont au loin, en aussi grand nombre que le Seigneur notre Dieu les appellera.” Et tant que Dieu appelle, il faut que ce soit la même formule. Il ne s’agit pas de serrer la main, de répéter un credo, mais d’être baptisé par le Saint-Esprit, dans le Corps de Jésus-Christ. C’est ainsi que l’Église chrétienne doit fonctionner. Pas par des credos, pas par une 
Hebreux 3:0;22;"SKN 56-1002A; SKN 57-0115; SKN 55-1008; SKN 61-0128; SKN 51-0923";"Mais, vous savez, cela n’a pas plu à l’homme de Dieu là dans son coeur. Il s’est dit qu’il y avait quelque chose qui était différent de cela. Moi aussi; tout à fait. Cela me rappelle Saül qui essayait de faire porter son gilet ecclésiastique à David; cela n’a pas marché avec un homme de Dieu, c’était tout. Cela ne lui convenait pas, il a dit: «Enlevez cette affaire», a-t-il dit, «je n’ai jamais éprouvé cela.» Maintenant, c’est ce qu’il nous faut aujourd’hui, c’est d’enlever nos gilets ecclésiastiques et de nous revêtir de la justice de Jésus-Christ, et d’essayer de cesser d’utiliser des mots t"
Actes 2:4;22;"SKN 60-0807; SKN 61-0112; SKN 61-0316; VGR 61-0112; SKN 53-1129A";Puis au chapitre 12... Maintenant, si vous continuez jusque-là où j'ai engagé mon débat pour prendre mon... l'évidence initiale du Saint-Esprit, je considérais que c'était l'amour. Et l'autre considérait que c'était le parler en langues, voyez-vous, considérer les langues comme l'évidence. Or, Paul dit dans I Corinthiens 13, le chapitre suivant, il dit donc ceci : «Quand je parlerais les langues des hommes et des anges (toutes les deux sortes) et que je n'ai pas l'amour, je ne suis rien. Quand j'aurais la sagesse...» Maintenant, il parle de ces dons qui sont dans le corps (voyez-vous, voyez-vo
Hebreux 13:12;21;"SKN 60-0911E; SKN 57-0915E; SKN 54-0515; SKN 60-0709; SKN 60-1218";Lisons Galates 3:26 juste un instant. Nous n'avons ici qu'une ou deux, trois choses de plus, et nous - nous devons ensuite terminer. Lisons maintenant ici dans Galates chapitre 3. Si quelqu'un trouve cela avant moi, qu'il le lise, qu'il aille de l'avant. [Une soeur lit Galates 3 :26 - Ed.] Car vous êtes tous enfants de Dieu par la foi en Christ-Jésus. Galates 3:26? Peut-être que je l'ai lu et que je l'ai mal noté ici. Lisons Colossiens. Je - je ne sais pas où je voulais en venir. Bien, il se peut que ça soit Colossiens, voyons si c'est Colossiens 3:26. Non, il n'y a pas de 3:26. Qu'est-ce alor
Hebreux 13:0;21;"SKN 63-0901M; SKN 64-0208; SKN 57-0901E; SKN 51-0722A; SKN 65-0123";"Elle est revenue et a été courtisée–courtisée par le général de l’armée. Elle a été relevée et s’est retrouvée à Bethléhem, où elle a reçu un héritage au milieu d’eux. Et elle a mis au monde–elle a mis au monde un fils célèbre, et ce fils célèbre a produit un autre fils célèbre, et ce fils a produit un autre fils célèbre, jusqu’à ce qu’arrive le grand Fils célèbre. Faisant tout ce chemin, en passant par Obed, et puis par Isaï, et ainsi jusqu’à David. C’est vrai. La prostituée Rahab, parce qu’elle crut le messager. Elle appliqua le signe, et sa maison fut sauvée; sinon elle aurait péri là-bas o"
Matthieu 28:0;21;"SKN 64-0126; VGR 64-0126; SKN 62-0701; SKN 64-0614M; SKN 54-0515";"Et aujourd’hui, un cas semblable se présente de nouveau, alors que le Saint-Esprit est venu sur nous en ces derniers jours, qu’Il s’est identifié dans notre église même et qu’Il a démontré les mêmes oeuvres qu’Il a faites lorsqu’Il était ici dans la plénitude, sur Jésus-Christ... Il a fait la même chose sur l’Epouse; Il fait la même chose et, malgré tout, nous voulons nous en débarrasser. Souvenez-vous, ceci est enregistré sur bandes magnétiques maintenant, et ces bandes vont dans le monde entier, pas seulement à Phoenix ici. Je parle présentement à la moitié du monde, parce que notre service "
Amos 3:7;20;"SKN 65-0718M; VGR 65-0718M; SKN 65-1127B; SKN 63-0321; SKN 65-1126";"Peu m'importe le nombre de dignitaires. On a là le roi David qui était aussi grand que n'importe qui d'entre eux. Il était roi sur la nation. Cependant, Dieu avait une façon de faire, et Il leur avait dit comment Il allait s'y prendre. Mais eux ce n'est pas ce qu'ils ont fait. Cela doit être en accord avec Sa Parole, en accord avec Son temps, en accord avec le - Son programme; et cela doit être fait par la personne qu'Il a choisie pour le donner et pour l'accomplir. Moïse a essayé de fuir loin de cela. ""Prends quelqu'un d'autre!"" Mais Dieu avait choisi Moïse pour accomplir cela. Beaucoup d'ent"
Apocalypse 12:0;20;"SKN 54-0513; VGR 54-0513; SKN 59-0823; SKN 59-0628E; SKN 54-0516";Et si vous prenez Daniel 7, vous qui notez, Daniel 7. Daniel a eu la même vision, huit cents ans avant ceci, il a eu la vision. Il a vu ces animaux, distincts l'un de l'autre, au commencement du règne des nations. Et les voici, Jean les voit, et à la fin du règne des nations, tous ces quatre animaux, sont représentés en un seul. Ces mêmes vieux démons, ces démons qui ont possédé chaque royaume des Romains, tout le long, et des Grecs, et des autres, tout le long de la dispensation des Gentils, sont arrivés là et se sont tous réunis en une seule bête. Nous allons voir cela tout de suite, voir qu
Apocalypse 19:0;20;"SKN 63-0321; VGR 63-0321; SKN 60-1231; VGR 60-1231; SKN 64-0614M";"Alors, les voilà qui se rassemblent, pour cette confrontation d’Harmaguédon, montés sur un cheval de couleur mélangée cheval blanc, cheval roux, cheval noir, les trois différentes... politiques–la puissance politique–politique, la puissance spirituelle, dirigées par la puissance démoniaque, c’est-à-dire l’antichrist. Quand on mélange tout ça, ça donne cette chose d’une pâleur dégoûtante sur laquelle il est monté. C’est vrai. Maintenant, remarquez. Regardez ce sur quoi il est monté: il est monté sur un cheval de couleur pâle, de couleur grisâtre, un mélange de noir, de roux et de blanc; il s’av"
Romains 5:1;20;"SKN 57-0915E; SKN 54-0515; SKN 60-0709; SKN 65-1125; VGR 54-0515";"Que le Seigneur vous bénisse! Je ne veux pas vous gronder, mais, mon frère, c'est mieux d'être un peu grondé. Vous êtes mes enfants, voyez-vous. Et tout papa qui aime ses enfants les corrigera certainement, sinon il n'est pas un bon papa. Est-ce vrai? C'est vrai. Et ce papa a seulement un règlement, et c'est le règlement de la maison. Et Dieu a seulement un règlement, et c'est Sa Parole! Si nous croyons à Sa Parole, alors nous vivrons par Sa Parole. C'est notre devoir, si nous avons déjà rencontré Dieu. Non parce que vous dites : ""Eh bien, je vais à l'église, et je dois faire ceci."" Vous êtes "
Jean 12:20;19;"SKN 62-0724; SKN 58-0214; SKN 64-0614M; SKN 58-0523; SKN 64-0629";"A présent, Père, nous Te prions de venir au milieu de nous et de nous révéler que Tu es ressuscité des morts, que Tu es vivant aujourd’hui et qu’ils sont… que Tu demeures le même Aimable Jésus. Et alors le moment approche… [Espace non enregistré sur la bande – N.D.E.]… en regardant sur la terre ces spectacles qui arrivent, Tu as dit que c’était le temps de lever la tête, car notre rédemption approche. Le prophète nous a dit qu’il y aurait un jour qui ne serait appelé ni jour ni nuit ; ce serait un jour sombre, avec beaucoup de brouillards. Mais au temps du soir, la Lumière paraîtrait. Et le mê"
Actes 19:5;18;"SKN 54-0515; SKN 59-1219; VGR 54-0515; VGR 59-1219; SKN 54-0103M";"Vous voyez, vous comprenez mal cela, mon ami. C’est l’unique Dieu dans trois dispensations. La dispensation de la Paternité, de la Filiation et du Saint-Esprit, c’est le même Dieu. Et quand Il a dit: «Allez, baptisez-les au Nom du Père, du fils et du Saint-Esprit», c’était Jésus-Christ. Et c’est pourquoi nous baptisons au Nom de Jésus. Maintenant écoutez; prenons les baptêmes ici. La première fois que le baptême ait jamais été mentionné dans le Nouveau Testament, c’était le baptême de Jean-Baptiste. Est-ce vrai? Je placerai ceci ici. Voyez, il vous faut avoir les choses en ordre sur la Divinit"
